"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","66220729.5","No"
"0x000000000000084e91743124a982076c59f10084","1E-18","No"
"0x0000000000000eb4ec62758aae93400b3e5f7f18","0.73439414626853","No"
"0x0000000000007673393729d5618dc555fd13f9aa","1E-18","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","0.439382265271732","No"
"0x000000000000cb53d776774284822b1298ade47f","2E-18","No"
"0x00000000002bde777710c370e08fc83d61b2b8e1","1E-18","No"
"0x000000000035b5e5ad9019092c665357240f594e","1.7E-17","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","1E-18","No"
"0x0000000000d1d773661e4b2102bbe07d4dcde777","1.5E-14","No"
"0x0000000000d41c96294ccdac8612bdfe29c641af","1E-18","No"
"0x000000000bdbd514fd0ebb5b5773e006145d5140","1E-18","No"
"0x0000000033431f236e97fa549b367827360effd7","1E-18","No"
"0x000000003a7cd5b15e460f73976b267544726f5f","1E-18","No"
"0x000000005736775feb0c8568e7dee77222a26880","7E-18","No"
"0x0000000057a888b5dc0a81f02c6f5c3b7d16b183","1E-18","No"
"0x000000005804b22091aa9830e50459a15e7c9241","1E-18","No"
"0x0000000071e801062eb0544403f66176bba42dc0","1E-18","No"
"0x00000000751edf02c727ea9d0c1c8e64f169e343","1E-18","No"
"0x0000000099cb7fc48a935bceb9f05bbae54e8987","1.3E-17","No"
"0x00000000acd5ca17eee6d92d9ca121543126cce1","1E-18","No"
"0x00000000b7ca7e12dcc72290d1fe47b2ef14c607","4.5E-17","No"
"0x00000000c9fdd743c60055c0e4ea30d266272c1f","1E-18","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0x00000000dc0e59517a8114348d9130e7d3835832","1E-18","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-18","No"
"0x00000000e84f2bbdfb129ed6e495c7f879f3e634","1.2852E-14","No"
"0x00000000e8b06d9bf77ba40fc89e4eaa4f225e5c","1E-18","No"
"0x00000000f515b28e81a0e98ea3f4f816ef7e62b2","1E-18","No"
"0x000000917de6037d52b1f0a306eecd208405f7cd","1E-18","No"
"0x000000a61aa8c4e48a832cc39655ef8156097aa2","1E-18","No"
"0x000000c52b33fa71614810224771dc8f3255b220","4E-18","No"
"0x000000ed5113006b6f24002dd7577bb547e2005a","1E-18","No"
"0x0000e9ef000000a15f1f02c1008d21eb66001534","1E-18","No"
"0x0000fee6275dab194ab538a01dd8b18b02b20000","1E-18","No"
"0x000910024c53ca00ac0a91daaa3f5e51a9f01612","5.95929587924553","No"
"0x000d6a0be8917880070bb55ebcf72034385e3d9e","72.1559005740643","No"
"0x000dabd85632785a5c75fe0bdc901d6db645e178","2.17406401008839","No"
"0x0013f359b484d028ee645a14fee37171b1b9a917","27.5","No"
"0x001720e3d20fbd0f94835fbded5b819306498c75","7.258486520496E-05","No"
"0x0018459e46bf55513d183ff327ffdd7d59bfdb4a","6","No"
"0x001d4df51503efa821ac5b3358751ea491a5b07e","29.9998438907318","No"
"0x001e55e5ddec8d9c0da3208a1a9279dab63d27c8","3.86117208207932","No"
"0x001f43cd9e84d90e1ee9db192724cef073d3fb2e","2.44143767477341","No"
"0x00215fe599f151302d3aaf09df547456c5b14075","2.10872241","No"
"0x0025f132b765f404983dd8ea4d4b306f8c4e457e","42.1607583412358","No"
"0x002d63c2daa3e8e8785808f1dcfac1ebeef5707d","1.879977","No"
"0x0036e4112c87877687c5af322c7f8728d1faf460","15","No"
"0x0037a35113429e58013a5051c2f139984c87afd9","84.0409608618589","No"
"0x00390c997b6e23eaf33be96b5aa20a22c9681acb","7.52580571559855","No"
"0x00413764785cf4a279f7b7d274482af5b589a06b","13.2642502012863","No"
"0x0043dabf7af14123160350a64bd7cc3fa4a7c15b","51.478","No"
"0x00514ecb679de04abdecde0e556cbca96e5e7226","36.8975602432639","No"
"0x0061e08d29b7e936eecb1d38d624cebc303a1418","69.672229231197","No"
"0x006ad23694ceae930175c08528bda52edb2e1e93","45.1431704004308","No"
"0x007375eb61086bf965208df57a8587684f78ef79","2","No"
"0x007cff11bf6318883673441fd6ec2c16ee9aa575","2.4484079398146E-05","No"
"0x00926e7ebc1791bbebac76564b48fbea3f5f27ec","8.9850186308732E-05","No"
"0x0093e5f2a850268c0ca3093c7ea53731296487eb","0.2","No"
"0x00aca6e23c5af099b6128aa334ea70f2cd4359e8","17.5041870736668","No"
"0x00b6fc8ec8d10f86ac1cf759ff83cc55bae47b1f","5.5277947802217E-05","No"
"0x00bf034cec51975faece51b285724301436b21c4","1E-18","No"
"0x00bfa8002bd85f75de5ad3dfe3827d5baafe00af","9.82871919011618","No"
"0x00c21d77b39a7439710c5aeb09c2c36800b6d6b8","9.65911569545109","No"
"0x00c96dfbade5a49dee69d58e8590567e97b9c048","73.3039600278757","No"
"0x00c984ecefd4e8f4d3a1a7750a65e6ebed958fe9","4.216882125536E-06","No"
"0x00d0ab7d59d69a6ef33c31c3b50a4a67d4319d63","158.213971039592","No"
"0x00d0fc69ac0c15be8cc911ffe9982afb4a713958","2.15052184517109","No"
"0x00d14d2bffa3363114793f8f5df05b6d82f14ba1","9.63336537018515","No"
"0x00d8a0d487115009bf84e6e94ddff276da9165a4","8.196542614645E-05","No"
"0x00f2a1c9274e71e6aa755b8d5f67b891892bca1f","4.9513E-14","No"
"0x00f470f48cb37afb7ac706bb527aa5b975ff1416","5.44359162275726","No"
"0x00fc1844275994d912620ea9da60948d1bfe908e","44.8303118111101","No"
"0x0108347068616a6bf61e138736ad11fe3ea22c36","7.97651497173656","No"
"0x0108aeb343d74a90299b7e526c629ef6be858df4","3.96660403903468","No"
"0x0112d4f1aa3807438ddf6772abf5632c805476ff","17.1652438257015","No"
"0x0114cad56e64ed1fe71cdf1c74d2ffea0ec79d2f","65.8218202523651","No"
"0x0116811cc236df3ad21795cfc6191fd32c14043e","4","No"
"0x011a2ea2cd7f222496c33e166cf71aaab3b3931e","1.5","No"
"0x01206255a7423f72b27d85a4c57c4ace566273d8","10","No"
"0x012220bad4752091f2a93f5ec20c1608efac771a","8.721904100469E-06","No"
"0x0122fa24aa8a0997012c4c575cfb06583c0fadc2","1.28962324689931","No"
"0x0127c6d44fcaef6d352f676db78d023dda712627","22.0301278000179","No"
"0x012882247976f3c9311fd4d7f859b420c8c85884","106.792694283144","No"
"0x012f3976c93260f7e4ce1289638278a870b6678d","75.1367711116876","No"
"0x01334205b9f066e4c2511fbae6cb205431af999f","2.87729096511469","No"
"0x0139d620d2a39675eeebf02ebf391b8f4a6eace9","500","No"
"0x013a3dc10bf2f1ce30c880bcfa7a5d3c7358d6f1","9.620068118077E-05","No"
"0x013a682059a10f0a09c4f8d9cc0351b8a371716a","49.9999731678957","No"
"0x01467dd0afce1b71b68d6306b552c39fd1bbb140","0.00678722","No"
"0x0151cc37e580002656bd501d6084e6a2131d8b04","1.76964558705553","No"
"0x0151dc32d0ac233a164cf8c9781cfb34bf5a4da8","99.1237088486993","No"
"0x01525e67d0788b10bc1d1f45cbdaaf5f84a518f1","3.339872503164E-05","No"
"0x0154c8952e58aab82fee6a1532eae961b386205e","2","No"
"0x016eb10373b6f5681d603eb95dea1bc653ef4430","8.57417808909036","No"
"0x017473af374aa2b8e30676a75936b8e9f3200916","24.8888715697466","No"
"0x018a973136feee8d41cb5a5de46fa491baecf2dd","20.997426","No"
"0x018b3c8397312027452c127c7bdac823a8213252","0.0436640595454619","No"
"0x0194832c6c0bef631b191fbc7fefbb92652250ae","16.6","No"
"0x019ad9de89774328a424cc339791d30c4c759e35","15","No"
"0x01a6890ebe9cb8910c21c3a0f4a74575f602d3b0","1.99939034044024","No"
"0x01afd61b81cd5d615097f4d97ea20d3a62ad4ffd","28.8581258672114","No"
"0x01b0141e1ae99684a2ec1432b3316ee70c445bc1","10.6695507401426","No"
"0x01c68572b6f00c7a98b001556fe688a9bec8ba6b","43.6437858429158","No"
"0x01c8088f63127dd75682081eea2ed97989975b52","0.00743307727241056","No"
"0x01d530a64fb92cbd7841e36221e7ba6d9b531b0c","1.89088642685816","No"
"0x01d5b14a0000340f53eace5e2126381bab73f367","10","No"
"0x01d858a9b9b00125d2c8b8ca6bee042371de6e12","20.7112150250058","No"
"0x01dcf7334a12c3e93a9a863ce61a8d0f41213e6c","28.8207004583507","No"
"0x01dea5aea941ad0dbe5f09c85536ff9b92ec9d48","11.1708659090288","No"
"0x01e728503ee00b806dc6fec1d07928b79fafef09","8.37382811588E-07","No"
"0x01eb6473764bc4bd80b8b4b9ab8c26e8b892f6c9","8.20810841360764","No"
"0x01ed60bf9086d1c7f84a9f42a88d00927b855629","18.606539711132","No"
"0x01f47dce3adb87f55157b63ab72100c87b8b94a1","1.87769427560788","No"
"0x02023798e0890ddebfa4cc6d4b2b05434e940202","1E-18","No"
"0x020a9455e69fc513a89c65cb4c4c5d974eec8071","23.97606","No"
"0x022766b23fef0f84b3c654e954141b0b4e38005c","150.409478821283","No"
"0x023096a8237096e484f7dd886d5b8874bebcb36d","22.3080578950489","No"
"0x02323dd1136f5d6315ef0680ed459e468a51d9a7","44.0917723883943","No"
"0x023bf7e01d31a4aaedf93106ad97df81fc8b3fc9","7.5222","No"
"0x02405316c8a87ecae726b19a4603839bba6d440a","12.1842112220874","No"
"0x0245e89ba5654ff077b081cdbaa456948efe081d","0.0388698381827434","No"
"0x024b38dd3e19761858731a1dcddb14d9ab2f6c8d","35.9529529542681","No"
"0x0258b2d03737c46580f9b5043363ce11b27ff7b5","2.06661264478865","No"
"0x025b96fac92837546a1cb77560c8627815a85d14","312.105768094699","No"
"0x0261a7cd2660bba69a939ec8d15983f1d0afc993","28.9758431107717","No"
"0x0266a885362e97d1858ce49c63ec2bbce2f6d0c4","0.000988619665357755","No"
"0x0267940d1897b150ac9601ef00d0e38a5fda3011","114.905055517744","No"
"0x02735e14ea6d33919e4e041481d8f6145abbce96","0.00713520886539921","No"
"0x0289e95d42c9f0d04772a8ce9d0405df36704265","5","No"
"0x029a870ac6e8551d1a09209c4b28e773b3ecd432","8.79979278070114","No"
"0x029e8668b8df004026506b74bf5494c92564e4b5","13.4350360907409","No"
"0x02a566907ed330e8cbae2255ff32387f0368a2f2","10.9285293659714","No"
"0x02a6b50c8876ccc0dbc9a46ab868c1bcb84671e5","13.1301525043922","No"
"0x02ac09e1904b561dd328e4f613f01fe4cfa38220","10.2929261239408","No"
"0x02b8b40743fb215af7fadc8c1d11b7ace8a088bb","1.0471323986807E-05","No"
"0x02b95bd5375ad8e6b22ebbc3a82189ec65f138f9","152.838697930384","No"
"0x02bcbd18b5ea71c19c920731fef33a04db989d9d","2.97304596721897","No"
"0x02bfe759f12338a4c35d1c06b75986b8be5f92f8","2.36224776315797","No"
"0x02da882bcf030f219a2571dcc866325bab3912f5","198.096","No"
"0x02da9e1c5b6b3b678bdd0da6eea3e82b6b746baa","1.183E-15","No"
"0x02e05ee56285363776cb03acdcf8566f2565e9d2","5.91221647749403","No"
"0x02e4a9af40c86f7ca3e29fc659f3f20318201d8e","18.2992618442632","No"
"0x02f6b2671faddb9041283fa180eca74a5fda3dc8","0.725451286018452","No"
"0x0300f7bace786c9e9a7da093efd4b11d34b99f8f","23.4935225047642","No"
"0x030888a2082c6f6264b1fe6bbd54cd0ed09bf7b7","69.4473841239361","No"
"0x030d34be8efed076d5db619730e2f4352acdeb6b","30.0356448294277","No"
"0x0311a68e43211cd2b6f18ca96ba8bdd8fcee518d","3.675956627288","No"
"0x0317d993ba0a3c9a83b21a3b91142f55d40214a5","8.3060869E-11","No"
"0x0319417b5c79debe87cdca6d750b839e315d4164","25.7065","No"
"0x031a1d20a618eb91b4138dffddd7bf2a5156feb1","4.23516382007596","No"
"0x03214abc9effa59a61649a5fac320a3ccbf98b79","0.00480009742103277","No"
"0x0321bb90e836eca9e64bcd93a7a595117e6d3535","2","No"
"0x03227a56172601778f7da4f367476a4a4992e0ac","8.47268558979418","No"
"0x0323965dc531ecc76511a24dafca4a502533917b","45.5844568082908","No"
"0x0325d873a3dc92b01919f6bafc7d15eba4e8e8d4","3.4531350781695E-05","No"
"0x03282bc34e109be6b40021f0cd83cf9e15b2f858","15.1775923720871","No"
"0x033313ded7bd6af627293bf767ffc42c2db50649","0.819821241382088","No"
"0x0349afd76774b8bb3305bd2b28399fb5b69697a2","6.3","No"
"0x034c740cb92c72e8bc1368bc82ad699ef879de15","29.1982593601191","No"
"0x034c9ffeed3e8461276e32e870fdd997d8c2aae8","6.9244174218812E-05","No"
"0x034e8db96f8a029aa92ffd0bdf8db884715c7b67","46.939157910763","No"
"0x0351eebfe7d4ba79d86f9f85b52effab908d9e21","0.17","No"
"0x0356dbd78b57b99feee58a8ffe1eb492f130413f","4.40680785153413","No"
"0x0357ee511a77d1981d2d79e076f9608be771c85b","2.61","No"
"0x0366ea5cbfc189412da5ce2888a7bc90ebee748c","23","No"
"0x0370ed5dd2541bfa58fb42a6c40591224b6eaa32","66.2576930289171","No"
"0x03745d2e436d43a75995835b6e46ae377b4db650","237.610846128926","No"
"0x0388c2d8ef1df29fb7842f98f9c857b436feba16","34.0681631502316","No"
"0x038f6062ad857483732f3932535fb6f1ab88e6f1","45.1882881708373","No"
"0x039653b16b2a5162aed5ba8b6c379c31d791f6a7","164.917042309047","No"
"0x0398525d18ba0c5db1dc2d67f08842277257c833","0.00194562465665547","No"
"0x03a4ee59642f63cec1523604980f96c58560180c","2.5","No"
"0x03a5a0cf1c08a273484a13808bb1d6e4cf7e5629","80.0051620740874","No"
