token_address,from_address,to_address,value,transaction_hash,log_index,block_number
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x1434e4768f1b3aa20b6d8a249f62de2e06c91584,100000000000000000,0xfc91d72ef874749facffb92e2d943bd77d4b2606f4c4cb15733aaf5df9f064b0,1,6895623
0x668b9785aac4e9589e5cd56f9f358189681e2af6,0x1434e4768f1b3aa20b6d8a249f62de2e06c91584,0x33cc8ec4b14de3a67af1992b47ed31c43c53a016,1027462105881845246414016982539,0xfc91d72ef874749facffb92e2d943bd77d4b2606f4c4cb15733aaf5df9f064b0,2,6895623
0x668b9785aac4e9589e5cd56f9f358189681e2af6,0x1434e4768f1b3aa20b6d8a249f62de2e06c91584,0x000000000000000000000000000000000000dead,46702822994629329382455317388,0xfc91d72ef874749facffb92e2d943bd77d4b2606f4c4cb15733aaf5df9f064b0,3,6895623
0x55d398326f99059ff775485246999027b3197955,0x1b3e89ba88bd7875bba9a018f37baf34fab4e992,0x0d0707963952f2fba59dd06f2b425ace40b492fe,199173975590000000000,0xe267fddca0bae5e1ee19503dc3f46d5d9eddd789dd530d0adb08987b8f865228,6,6895623
0x55d398326f99059ff775485246999027b3197955,0x1994d58c87a448ad5ba0a7fa0f40b297120891cd,0x0d0707963952f2fba59dd06f2b425ace40b492fe,106814473530000000000,0x5cc2819a9341df63610a81513508b65add54469fdf4ee80495bdb11ee2860131,7,6895623
0x55d398326f99059ff775485246999027b3197955,0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0xb1ce6f80578fbdd074dc0bce65992a6b5da0a2d9,83242769180000000000,0x5e815501d7176a6af2720d4ca179ec0f4b9cf6b0d96c3f380790f9254efe2bec,8,6895623
0x7c63f96feafacd84e75a594c00fac3693386fbf0,0x310d684804875c4e6c23c4b45857cf0884cd2509,0xefb8cc782001ec957385241548778d3855126008,891077271661386863294,0x56d000513cf658265f3b0de1805aee90c114157cec748758ad9981e7cb53686c,35,6895623
0xacfc95585d80ab62f67a14c566c1b7a49fe91167,0xc4c3125e8e3980ab516c87fa108931e820ad88c9,0x39aa02d6b499a76a70fab5f164e8be587c366141,5371378702590717460,0x7b63494aeb70e0f865019ed0d1580a0f138e52f2fb2d6a1845e6c1990de77580,36,6895623
0xe9e7cea3dedca5984780bafc599bd69add087d56,0x1b96b92314c44b159149f7e0303511fb2fc4774f,0x6dd596eec44067d80ca2122e757ab806f551e521,62737022097316378754,0xa31bc8df212ed10d404e7efd0956cf19f82500bee50ff3c71e5e218a9a2fe659,37,6895623
0xe9e7cea3dedca5984780bafc599bd69add087d56,0x6dd596eec44067d80ca2122e757ab806f551e521,0x83f4c453b766a97e9467d6376b2419a47b082958,62737022097316378754,0xa31bc8df212ed10d404e7efd0956cf19f82500bee50ff3c71e5e218a9a2fe659,38,6895623
0x7e5d52c3335c91af0da392bea4bb9e43f2aba62c,0x83f4c453b766a97e9467d6376b2419a47b082958,0x85f999c902fd641acc8fb88e9d2eb0d739262d8b,5012241971649590986351,0xa31bc8df212ed10d404e7efd0956cf19f82500bee50ff3c71e5e218a9a2fe659,39,6895623
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x85f999c902fd641acc8fb88e9d2eb0d739262d8b,0x6dd596eec44067d80ca2122e757ab806f551e521,118045913426588702,0xa31bc8df212ed10d404e7efd0956cf19f82500bee50ff3c71e5e218a9a2fe659,42,6895623
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0x6dd596eec44067d80ca2122e757ab806f551e521,0x1b96b92314c44b159149f7e0303511fb2fc4774f,116138938360005545,0xa31bc8df212ed10d404e7efd0956cf19f82500bee50ff3c71e5e218a9a2fe659,45,6895623
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,0x012fe77b3da33364a37f526c8d37b3ec11afc044,0x0000000000000000000000000000000000000000,7,0xa31bc8df212ed10d404e7efd0956cf19f82500bee50ff3c71e5e218a9a2fe659,48,6895623
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,0x71bb86eeb3f740b94f26baab3bbf5a6040d85d86,0xc75be68e23eb38b51d1dc547b7341bd0da41d48f,175551318921484995561,0xa01f04911d9e70c0db16e126912bcf88cfb2b81dc10158ab800dcad593ddcd59,50,6895623
0xe9e7cea3dedca5984780bafc599bd69add087d56,0x153e170524cfad4261743ce8bd8053e15d6d1f15,0x788fdceb07afabb2e0fd920651d292088fb96752,19530512841618762000,0x8f8267d4aebc4e916cf884fb7fc70bf578765557bff817e3c70c814378895326,52,6895623
0xab9d0fae6eb062f2698c2d429a1be9185a5d4f6e,0x788fdceb07afabb2e0fd920651d292088fb96752,0xb1d88a0b291183898770088f43ede279ef10482e,31719159349089468829,0x8f8267d4aebc4e916cf884fb7fc70bf578765557bff817e3c70c814378895326,54,6895623
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,0xb1d88a0b291183898770088f43ede279ef10482e,0xe415f82e756027cfcc212d04dd9121a3f7080e8a,37681095002055750,0x8f8267d4aebc4e916cf884fb7fc70bf578765557bff817e3c70c814378895326,57,6895623
0xe9e7cea3dedca5984780bafc599bd69add087d56,0xe415f82e756027cfcc212d04dd9121a3f7080e8a,0x153e170524cfad4261743ce8bd8053e15d6d1f15,20351964745704857428,0x8f8267d4aebc4e916cf884fb7fc70bf578765557bff817e3c70c814378895326,60,6895623
