address,symbol,name,decimals,total_supply,block_number
0x4b0f1812e5df2a09796481ff14017e6005508003,TWT,Trust Wallet,18,1000000000000000000000000000,
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,Wrapped BNB,18,2399348549168123276648715,
0x9cf518b83804d30fb007e17757d317d9b03619a5,FRUIT,Fruit Token,18,200000000000000000000000000,
0xc5e6689c9c8b02be7c49912ef19e79cf24977f03,ALPA,AlpaToken,18,778045831250000000000000,
0xf68c9df95a18b2a5a5fa1124d79eeeffbad0b6fa,ANY,Anyswap-BEP20,18,1707689053581682579763898,
0x02e3efcc9d912fbf2bf33d39f43427b56512c9b4,WOOL,WoolToken,18,14268516003113141949060177,
0x3c037c4c2296f280bb318d725d0b454b76c199b9,JNTR/b,JNTR/b,18,1306367833231390626609700,
0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,BUSD Token,18,121000000000000000000000000,
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,PancakeSwap Token,18,162067487038618024663269115,
0x90e88d4c8e8f19af15dfeabd516d80666f06a2f5,PETNFT,Pet NFT,,1511,
0xa527a61703d82139f8a06bc30097cc9caa2df5a6,Cake-LP,Pancake LPs,18,2407798815078921344082751,
0x9e90af2ea159190c84012b09067689ba8ac0d9b3,MOON,Crescent Moon,18,114002939475446461,
0x728c5bac3c3e370e372fc4671f9ef6916b814d8b,UNFI,UNFI,18,1174434482934326190000000,
