address,symbol,name,decimals,total_supply,block_number
0xc4b790e1d5f0c3d8aa526f0a8098ed2a1ff0886a,420x,420x,9,1000000000000000000000000,
0x78650b139471520656b9e7aa7a5e9276814a38e9,BTCST,StandardBTCHashrateToken,17,1500000000000000000000000,
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,Wrapped BNB,18,6663055595860070353448756,
0xcbb09097d442f267f0780064a082ac06d947311f,OFOX,OrangeFox,8,99942681676444881574,
0xa8fcee78b782ef97380326e90df80d72f025f020,TACOCAT,TacoCat,9,1000000000000000000000,
0x603c7f932ed1fc6575303d8fb018fdcbb0f39a95,BANANA,ApeSwapFinance Banana,18,33582848069989021057319452,
0xa7f552078dcc247c2684336020c03648500c6d9f,EPS,Ellipsis,18,316340007938065204531466399,
0xf65c1c0478efde3c19b49ecbe7acc57bb6b1d713,APE-LP,ApeSwapFinance LPs,18,398727635380260000083159,
0x9c65ab58d8d978db963e63f2bfb7121627e3a739,MDX,MDX Token,18,97308714982612357384885504,
0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153,FIL,Filecoin,18,1049999999926705453635132,
0x55d398326f99059ff775485246999027b3197955,USDT,Tether USD,18,2979997922178664111664612760,
0x2cd1075682b0fccaadd0ca629e138e64015ba11c,τBTC,τBitcoin,9,1818080109369,
0xf7844cb890f4c339c497aeab599abdc3c874b67a,NFTART,NFTArt.Finance,9,100000000000000000000000000,
0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,BUSD Token,18,4200999999996203280118545633,
0x8afedcc3a846ea74faaf11a797a1dc3755aa8a7b,PANDAO,PanDao,9,1000000000000000000000000,
0xcc42724c6683b7e57334c4e856f4c9965ed682bd,MATIC,Matic Token,18,2000000000000000000000000000,
0xab844d316b5a5093b7e7edde11cc08becca36d1c,ANUBI,AnubiCoin,9,100000000000000000000000000,
0xf317932ee2c30fa5d0e14416775977801734812d,DINO,Dino Token,18,200000000000000000000000000,
0xc5e6689c9c8b02be7c49912ef19e79cf24977f03,ALPA,AlpaToken,18,6192536306517317018296975,
0x1bd7df20ae5e884c61b7017fac557e82cca6baee,HONEY,HONEY,18,1481118377701961211183697,
0x0000000000004946c0e9f43f4dee607b0ef1fa1c,CHI,Chi Gastoken by 1inch,0,44466004,
0xa997e5aaae60987eb0b59a336dce6b158b113100,SNN,SeChain,3,36000000000000,
0x2170ed0880ac9a755fd29b2688956bd959f933f8,ETH,Ethereum Token,18,1304999999998559533938826,
0xce5814efff15d53efd8025b9f2006d4d7d640b9b,MOONSTAR,MoonStar,9,1000000000000000000000000,
0xe12840d453922d734619042795ea3803c29221c4,DOGETRAIN,DTRAIN,18,1000000000000000000000000000000,
0xa5360c2070faecfc231fd6bd743fe88382f2991d,SAFELIGHT,SafeLight,9,1000000000000000000000000,
0x8076c74c5e3f5852037f31ff0093eeb8c8add8d3,SAFEMOON,SafeMoon,9,1000000000000000000000000,
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,USD Coin,18,1778999999999999997504281044,
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,PancakeSwap Token,18,300469771263200716971203871,
0xc9849e6fdb743d08faee3e34dd2d1bc69ea11a51,BUNNY,Bunny Token,18,9631996365944508423220314,
0x71de20e0c4616e7fcbfdd3f875d568492cbe4739,SWINGBY,SWINGBY token,18,1000000000000000000000000000,
0xee738a9e5fb78c24d26cecd30389ed977c38d0ca,FSAFE,Fair Safe,9,1000000000000000000000000,
0x5a3010d4d8d3b5fb49f8b6e57fb9e48063f16700,BSCPAD,BSCPAD.com,18,175600000000000000000000000,
0x23396cf899ca06c4472205fc903bdb4de249d6fc,UST,Wrapped UST Token,18,79180646486826733821544594,
0xa3bfbbad526c6b856b1fdf73f99bcd894761fbf3,Cake-LP,Pancake LPs,18,23344524272165809496926,
0x95afdae61c17af09b5d484b63d7e421d7b743313,ROO,kangaroos.finance,8,89150062283452511677,
0x62d71b23bf15218c7d2d7e48dbbd9e9c650b173f,mGOOGL,Wrapped Mirror GOOGL Token,18,624681627047499633692,
0x557dd6700e66818af340cce17fd4508ced81fbc1,PAPEL,Papel,9,1000000000000000000000000,
0x6f695bd5ffd25149176629f8491a5099426ce7a7,sALPACA,Stronk Alpaca,18,29485393799085549468484327,
0x8f0528ce5ef7b51152a59745befdd91d97091d2f,ALPACA,AlpacaToken,18,108699098471663743978927735,
0x13321acff4a27f3d2bca64b8beac6e5fdaaaf12c,Cake-LP,Pancake LPs,18,199738786953928505785251,
0x7b2124de75c7dc1ef61ee666b6b5e9d8506105e5,LAMBO,LamboToken,9,1000000000000000000000000,
0x0feadcc3824e7f3c12f40e324a60c23ca51627fc,Warden,WardenSwap Token,18,30203708956161015547850026,
0x4925ebaa523b2c2f66f980c7b8bb68207622bc3f,mooCakeV2WATCH-BNB,Moo CakeV2 WATCH-BNB,18,35203895914008843562725,
0x2a9718deff471f3bb91fa0eceab14154f150a385,ElonGate,ElonGate,9,1000000000000000000000000,
0xf0c9ec50a012e265e3d834eeb18bcbc6a5034258,CHEESE,MouseSwap Token,18,4167240011022067205292702485964104,
0x984d3e9906ef5f3e44576140cd0cf649ba1befa8,MOFI,Mofi Finance,18,1736539253310177477240860,
