address,symbol,name,decimals,total_supply,block_number
0xc9849e6fdb743d08faee3e34dd2d1bc69ea11a51,BUNNY,Bunny Token,18,9631996365944508423220314,
0x1387cd767d797c834a8fed4c2a3bf84067582420,Cake-LP,Pancake LPs,18,424941930272263359825479,
0x1311b352467d2b5c296881badea82850bcd8f886,TOOLS,TOOLS,18,25000000000000000000000000,
0x3e687568b2984fca0e3a71c1d7a07901f7362b23,LGLZ,LEGALIZE,9,1000000000000000000000000,
0x4b6000f9163de2e3f0a01ec37e06e1469dbbce9d,KEYFI,KeyFi Token,18,1000000000000000000000000,
0x844fa82f1e54824655470970f7004dd90546bb28,DOP,Dopple Token,18,43821889231684981684897560,
0x67d66e8ec1fd25d98b3ccd3b19b7dc4b4b7fc493,FEED,Feeder.finance,18,45623756000000000000000000,
0x2a9718deff471f3bb91fa0eceab14154f150a385,ElonGate,ElonGate,9,1000000000000000000000000,
0x812ff2420ec87eb40da80a596f14756acf98dacc,HUNGRY,HUNGRY BEAR,8,86624345829126124589473,
0x904d7ac5d005d16dbdc69f713d029e3c1800f8ca,MDAO,Martian DAO,9,1000000000000000000000000,
0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,Polkadot Token,18,10999999999998596681939293,
0x896ede222d3f7f3414e136a2791bdb08aaa25ce0,VIKING,VikingSwap Token,18,2797494377941176470408264,
0x16feb16f7ee2190312d03f449eeec2339add2d83,SAFU,SafeUniverse,9,874549665413979000000000,
0x3ad9594151886ce8538c1ff615efa2385a8c3a88,SAFEMARS,SafeMars,9,1000000000000000000000000,
0x6d825cda515024d83abf929fae99ca4e137b6094,MOONCORGI,Moon Corgi,9,100000000000000000000000000,
0xba2ae424d960c26247dd6c32edc70b295c744c43,DOGE,Dogecoin,8,199999999999999999,
0x9c65ab58d8d978db963e63f2bfb7121627e3a739,MDX,MDX Token,18,97310938280212357384885504,
0xe4ae305ebe1abe663f261bc00534067c80ad677c,SPARTA,SPARTAN PROTOCOL TOKEN,18,47897566676554787347488681,
0xcf914f67ea96d8738f54d0c5fc2007639da76703,MOONFinance,MOON Finance,9,1000000000000000000000,
0x5e7803e72744a0cdd7ec4f8a3ed87ce6b557018a,DSC,Dog House Coin,18,729686575000000001575000000000000,
0xf8e026dc4c0860771f691ecffbbdfe2fa51c77cf,BGOV,BGOV Token,18,210200234077474097176186364,
0x8b303d5bbfbbf46f1a4d9741e491e06986894e18,WOOP,Woonkly Power,18,1000000000000000000000000000,
0xecd0aa12a453ae356aba41f62483edc35f2290ed,Cake-LP,Pancake LPs,18,28358203007295549179035,
0xa184088a740c695e156f91f5cc086a06bb78b827,AUTO,AUTOv2,18,39899513478671796589983,
0xa1303e6199b319a891b79685f0537d289af1fc83,NAR,NAR Token,18,15143267737990170018510817,
0xe3894cb9e92ca78524fb6a30ff072fa5e533c162,ELP,Everlasting Parachain Token,18,10000000000000000000000000,
0x5ef5994fa33ff4eb6c82d51ee1dc145c546065bd,ALLOY,HyperAlloy,18,10286747892349954191076185,
0x477bc8d23c634c154061869478bce96be6045d12,SFUND,SeedifyFund,18,100000000000000000000000000,
0x74fa517715c4ec65ef01d55ad5335f90dce7cc87,Cake-LP,Pancake LPs,18,89485867189458111606350,
0xf0443834b7b21104b7102edbe8f9ec06204cd395,TAO,Friction Finance,9,50000000000000000,
0x3b831d36ed418e893f42d46ff308c326c239429f,Tcake,PancakeTools,18,200000000000000000000000000,
0x2cd1075682b0fccaadd0ca629e138e64015ba11c,τBTC,τBitcoin,9,1818080109369,
0xd6af37e75d62684dea3490ec5684feb1e50f006a,Cake-LP,Pancake LPs,18,51324188856579979,
0xb0b924c4a31b7d4581a7f78f57cee1e65736be1d,HAPPY,HappyCoin,9,1000000000000000000000000,
0x6b51231c43b1604815313801db5e9e614914d6e4,SAFEGALAXY,SafeGalaxy,9,1000000000000000000000000,
0xa527a61703d82139f8a06bc30097cc9caa2df5a6,Cake-LP,Pancake LPs,18,40329545744824300149839,
