address,symbol,name,decimals,total_supply,block_number
0x4b0f1812e5df2a09796481ff14017e6005508003,TWT,Trust Wallet,18,1000000000000000000000000000,
0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,WBNB,Wrapped BNB,18,2439609590546099161416445,
0xc5e6689c9c8b02be7c49912ef19e79cf24977f03,ALPA,AlpaToken,18,777179243750000000000000,
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,Cake,PancakeSwap Token,18,161855871407084118525594369,
0xe02df9e3e622debdd69fb838bb799e3f168902c5,BAKE,BakeryToken,18,498833476510402830278996282,
0xf68c9df95a18b2a5a5fa1124d79eeeffbad0b6fa,ANY,Anyswap-BEP20,18,1707825405922852579763898,
0x3c037c4c2296f280bb318d725d0b454b76c199b9,JNTR/b,JNTR/b,18,1306367833231390626609700,
0x9cf518b83804d30fb007e17757d317d9b03619a5,FRUIT,Fruit Token,18,200000000000000000000000000,
0xe9e7cea3dedca5984780bafc599bd69add087d56,BUSD,BUSD Token,18,121000000000000000000000000,
0x02e3efcc9d912fbf2bf33d39f43427b56512c9b4,WOOL,WoolToken,18,14250358782756071391501243,
0x90e88d4c8e8f19af15dfeabd516d80666f06a2f5,PETNFT,Pet NFT,,1506,
0x728c5bac3c3e370e372fc4671f9ef6916b814d8b,UNFI,UNFI,18,1174434482934326190000000,
0xa527a61703d82139f8a06bc30097cc9caa2df5a6,Cake-LP,Pancake LPs,18,2403351165380147752686992,
0x9e90af2ea159190c84012b09067689ba8ac0d9b3,MOON,Crescent Moon,18,114002939475446461,
0x32dffc3fe8e3ef3571bf8a72c0d0015c5373f41d,JULb,JULb,18,599020858610100326814570,
0xb4e8d978bff48c2d8fa241c0f323f71c1457ca81,UP,UP,18,111236628610392157743,
0xdf7952b35f24acf7fc0487d01c8d5690a60dba07,PB,Pancake Bunnies,,490,
0x55d398326f99059ff775485246999027b3197955,USDT,Tether USD,18,130000000000000000000000000,
0xa1303e6199b319a891b79685f0537d289af1fc83,NAR,NAR Token,18,16555823845210289346806300,
0x48dc0190df5ece990c649a7a07ba19d3650a9572,BOT,BOT Token,18,10000000000000000000000,
0x339550404ca4d831d12b1b2e4768869997390010,DRUGS,DrugsV2,18,21964826030626051630483668,
0x4bd17003473389a42daf6a0a729f6fdb328bbbd7,VAI,VAI Stablecoin,18,43451413337643659268593769,
0x745c4fd226e169d6da959283275a8e0ecdd7f312,Cake-LP,Pancake LPs,18,151862488319366906251310,
0xca3f508b8e4dd382ee878a314789373d80a5190a,BIFI,beefy.finance,18,80000000000000000000000,
0x009cf7bc57584b7998236eff51b98a168dcea9b0,SYRUP,SyrupBar Token,18,141942253496909019969808285,
0xae9269f27437f0fcbc232d39ec814844a51d6b8f,BURGER,Burger Swap,18,12188514896493767146893771,
0xecaec5352cfb49565c1fd82377614707f71a8a65,TAX,TAX,18,3098720600000000000000000,
0x47bead2563dcbf3bf2c9407fea4dc236faba485a,SXP,Swipe,18,289714926000000000000000000,
0xfe60b258204398f008581775f08d2b43fb7b422b,HOES,Super Hoes,18,14588949454112956528277097,
0xe4ae305ebe1abe663f261bc00534067c80ad677c,SPARTA,SPARTAN PROTOCOL TOKEN,18,62448506850553672164972831,
0xbe7095dbbe04e8374ea5f9f5b3f30a48d57cb004,WEAPONNFT,Weapon NFT,,1027,
0xa2b726b1145a4773f68593cf171187d8ebe4d495,INJ,Injective Protocol,18,7500000000000000000000000,
0xa1294ebb4a319237934a709a763bf85bdb7dcde0,COX,Cowswap,18,1906062817490491830498438,
0x88f1a5ae2a3bf98aeaf342d26b30a79438c9142e,YFI,yearn.finance,18,600000000000000000000,
0x3b2c93f9455786e74c68648eaab09b20ce557537,mooPancakeTWT-BNB,Moo Pancake TWT-BNB,18,18752359740884516248114,
0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe,XRP,XRP Token,18,52000000000000000000000000,
0x610e7a287c27dffcac0f0a94f547cc1b770cf483,Cake-LP,Pancake LPs,18,311936761220020655002057,
0x3ba5aee47bb7eae40eb3d06124a74eb89da8ffd2,Rocket,,18,1000000000000000000000000000,
0xb0bdbb9e507dbf55f4ac1ef6ada3e216202e06fd,mooCakeSmart,Cake Smart,18,4036922068370163538785995,
0x393b312c01048b3ed2720bf1b090084c09e408a1,FRIES,fry.world,18,29003472142575336216954,
0x7083609fce4d1d8dc0c979aab8c869ea2c873402,DOT,Polkadot Token,18,7500000000000000000000000,
0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63,XVS,Venus,18,30000000000000000000000000,
0xbf5140a22578168fd562dccf235e5d43a02ce9b1,UNI,Uniswap,18,3000000000000000000000000,
0xf79037f6f6be66832de4e7516be52826bc3cbcc4,HARD,HARD,6,22800002000000,
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,USDC,USD Coin,18,24000000000000000000000000,
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c,BTCB,BTCB Token,18,11001000000000000000000,
0x8e00e630f822a6ebd4a90b8ddd187a70fa01c405,STM-N,STM Network,18,4166319473378214,
0x179983892ec36287f1f342443b671ba549762241,GUNS,Lord of War,18,2752830432288283274174904,
0x90df11a8cce420675e73922419e3f4f3fe13cccb,STM,Streamity,18,99000000000000000000000000,
0x3f515f0a8e93f2e2f891ceeb3db4e62e202d7110,VIDT,VIDT Datalink,18,56883808600000000000000000,
0x8443f091997f06a61670b735ed92734f5628692f,BEL,Bella Protocol,18,3000000000000000000000000,
0xb3cbabd624d66f73dfdc3c78a5e4e8033937a422,reaperCake,fryReaper PancakeSwap Token,18,19206247277751705292928,
0x3fda9383a84c05ec8f7630fe10adf1fac13241cc,DEGO,dego.finance,18,502026369825504129442402,
0xac112e7744c129ae54e65f5d2cb4ea472e08ea0b,mooBakeryBake,Moo Bakery Bake,18,1938657409187225455538229,
0x5e74094cd416f55179dbd0e45b1a8ed030e396a1,PLT,Pancake Lottery Ticket,,636798,
0x4a184d05a4d78e05af0f349dfd2f00d241d45d99,KLP,SwapKing LP Token,18,286273664488073032079,
0xde4e179cc1d3b298216b96893767b9b01a6bc413,KING,KingToken,18,210505281019983775793316,
0x7d728e3dc8aad87168930edb1e4ac0fe4d42d935,Cake-LP,Pancake LPs,18,766340249384822083563,
0x2090c8295769791ab7a3cf1cc6e0aa19f35e441a,Fuel,Fuel Token,18,47702565392689734133211,
0x20bcc3b8a0091ddac2d0bc30f68e6cbb97de59cd,Cake-LP,Pancake LPs,18,548690520101229474903216,
0xe415f82e756027cfcc212d04dd9121a3f7080e8a,SLP,SwapLiquidity LP Token,18,24071692228821399469976,
0x1b96b92314c44b159149f7e0303511fb2fc4774f,Cake-LP,Pancake LPs,18,2103543383028796045199648,
0x374e045f8e8c81743cb589d9eefb6814f28367fc,KSP,SwapKing SP Token,18,460551555851137348510,
0xc97fac34ceb0bb1b2bdaf3b59ada378b99111a22,BLIQ,Bliquid,18,7746033010162607880115,
0xee31a8bb1edb26d8de688e2a1ca086e5c11f5978,Cake-LP,Pancake LPs,18,44630739085830879,
